Time,Temp
0,35.16
504,34.18
973,35.16
1479,34.18
1984,35.16
2457,35.16
2960,34.18
3430,34.18
3934,34.18
4439,34.18
4909,34.18
5411,34.18
5915,34.18
6385,34.18
6888,35.16
7359,34.18
7864,34.18
8367,34.18
8870,35.16
9340,34.18
9844,35.16
10316,35.16
10821,35.16
11292,36.13
11797,36.13
12303,36.13
12807,38.09
13279,39.06
13784,39.06
14256,39.06
14758,40.04
15262,41.99
15734,41.99
16240,43.95
16709,43.95
17214,45.9
17716,46.88
18187,47.85
18689,48.83
19194,49.8
19664,50.78
20170,51.76
20641,54.69
21146,54.69
21651,54.69
22123,55.66
22629,58.59
23133,59.57
23606,60.55
24110,61.52
24582,61.52
25087,63.48
25596,64.45
26065,67.38
26568,68.36
27041,70.31
27546,72.27
28018,73.24
28522,75.2
29024,76.17
29529,78.12
30001,80.08
30474,82.03
30977,83.01
31485,85.94
31990,86.91
32462,88.87
32968,90.82
33439,91.8
33944,93.75
34415,95.7
34918,98.63
35422,99.61
35893,101.56
36397,103.52
36870,105.47
37375,107.42
37881,109.37
38385,110.35
38856,112.3
39360,114.26
39833,116.21
40339,118.16
40809,120.12
41314,122.07
