,,Time,Temp,In
0.541176331,46757635,0,36.13,0
0.54118213,46758136,501,36.13,0
0.541187917,46758636,1001,35.16,0
0.541193692,46759135,1500,35.16,0
0.541199873,46759669,2034,36.13,0
0.541205694,46760172,2537,36.13,0
0.541211447,46760669,3034,36.13,0
0.541217234,46761169,3534,35.16,0
0.541222998,46761667,4032,36.13,0
0.541228773,46762166,4531,36.13,0
0.541234919,46762697,5062,36.13,0
0.541240671,46763194,5559,36.13,0
0.541246435,46763692,6057,36.13,0
0.541252222,46764192,6557,36.13,0
0.541258021,46764693,7058,35.16,120
0.541263808,46765193,7558,36.13,120
0.541269676,46765700,8065,36.13,120
0.541275822,46766231,8596,36.13,120
0.541281609,46766731,9096,35.16,120
0.541287384,46767230,9595,36.13,120
0.54129316,46767729,10094,36.13,120
0.541298924,46768227,10592,35.16,120
0.541305093,46768760,11125,36.13,120
0.541310856,46769258,11623,36.13,120
0.541316644,46769758,12123,36.13,120
0.541322407,46770256,12621,36.13,120
0.54132816,46770753,13118,36.13,120
0.5413339,46771249,13614,36.13,120
0.541340069,46771782,14147,37.11,120
0.541345833,46772280,14645,37.11,120
0.541351609,46772779,15144,37.11,120
0.541357384,46773278,15643,37.11,120
0.541363148,46773776,16141,38.09,120
0.541369016,46774283,16648,38.09,120
0.541375255,46774822,17187,38.09,120
0.541380671,46775290,17655,39.06,120
0.541386898,46775828,18193,38.09,120
0.54139228,46776293,18658,39.06,120
0.541398449,46776826,19191,39.06,120
0.541404236,46777326,19691,40.04,120
0.541410035,46777827,20192,40.04,120
0.54141581,46778326,20691,41.02,120
0.541421609,46778827,21192,41.99,120
0.541427431,46779330,21695,41.99,120
0.541433206,46779829,22194,42.97,120
0.54143941,46780365,22730,42.97,120
0.541445162,46780862,23227,43.95,120
0.541450961,46781363,23728,44.92,120
0.541456713,46781860,24225,44.92,120
0.541462512,46782361,24726,45.9,120
0.541468356,46782866,25231,46.88,120
0.54147456,46783402,25767,47.85,120
0.541479965,46783869,26234,48.83,120
0.541486134,46784402,26767,48.83,120
0.541491898,46784900,27265,50.78,120
0.541497674,46785399,27764,50.78,120
0.541503449,46785898,28263,51.76,120
0.541509213,46786396,28761,51.76,120
0.541515347,46786926,29291,53.71,120
0.541521111,46787424,29789,54.69,120
0.54152684,46787919,30284,55.66,120
0.541532627,46788419,30784,56.64,120
0.541538426,46788920,31285,56.64,120
0.541544653,46789458,31823,58.59,120
0.54155044,46789958,32323,59.57,120
0.54155625,46790460,32825,60.55,120
0.541562025,46790959,33324,61.52,120
0.541567836,46791461,33826,62.5,120
0.5415736,46791959,34324,63.48,120
0.541579421,46792462,34827,64.45,120
0.541585579,46792994,35359,66.41,120
0.541591007,46793463,35828,66.41,120
0.541597153,46793994,36359,67.38,120
0.541602928,46794493,36858,69.34,120
0.541608669,46794989,37354,70.31,120
0.541614838,46795522,37887,71.29,120
0.541620208,46795986,38351,72.27,120
0.541626377,46796519,38884,74.22,120
0.541632141,46797017,39382,75.2,120
0.541637917,46797516,39881,77.15,120
0.541643669,46798013,40378,78.12,120
0.541649421,46798510,40875,80.08,120
0.541655567,46799041,41406,81.05,120
0.5416614,46799545,41910,82.03,120
0.541667257,46800051,42416,83.98,120
0.541673032,46800550,42915,85.94,120
0.541678866,46801054,43419,87.89,120
0.541684676,46801556,43921,89.84,120
0.541690498,46802059,44424,91.8,120
0.541696308,46802561,44926,93.75,120
0.54170206,46803058,45423,95.7,120
0.541708218,46803590,45955,96.68,120
0.541713623,46804057,46422,98.63,120
0.54171978,46804589,46954,100.59,120
